Temps ;Temperatur;Consigne_T;Humidite;Consigne_H
(s);(�C);(�C);(%);(%)
9000;24.95;25.0;120.0;255.0
9030;24.88;25.0;120.0;255.0
9060;24.95;25.0;120.0;255.0
9090;25.03;25.0;120.0;255.0
9120;25.06;25.0;120.0;255.0
9150;25.07;25.0;120.0;255.0
9180;25.03;25.0;120.0;255.0
9210;25.03;25.0;120.0;255.0
9240;25.0;25.0;120.0;255.0
9270;25.01;25.0;120.0;255.0
9300;24.99;25.0;120.0;255.0
9330;24.98;25.0;120.0;255.0
9360;24.84;24.9;120.0;255.0
9390;24.88;24.8;120.0;255.0
9420;24.84;24.7;120.0;255.0
9450;24.78;24.6;120.0;255.0
9480;24.68;24.5;120.0;255.0
9510;24.56;24.4;120.0;255.0
9540;24.44;24.3;120.0;255.0
9570;24.37;24.2;120.0;255.0
9600;24.25;24.1;120.0;255.0
9630;24.14;24.0;120.0;255.0
9660;24.04;23.9;120.0;255.0
9690;23.93;23.8;120.0;255.0
9720;23.83;23.7;120.0;255.0
9750;23.72;23.6;120.0;255.0
9780;23.63;23.5;120.0;255.0
9810;23.54;23.4;120.0;255.0
9840;23.45;23.3;120.0;255.0
9870;23.33;23.2;120.0;255.0
9900;23.22;23.1;120.0;255.0
9930;23.12;23.0;120.0;255.0
9960;23.04;22.9;120.0;255.0
9990;22.93;22.8;120.0;255.0
10020;22.82;22.7;120.0;255.0
10050;22.73;22.6;120.0;255.0
10080;22.63;22.5;120.0;255.0
10110;22.52;22.4;120.0;255.0
10140;22.43;22.3;120.0;255.0
10170;22.32;22.2;120.0;255.0
10200;22.23;22.1;120.0;255.0
10230;22.12;22.0;120.0;255.0
10260;22.03;21.9;120.0;255.0
10290;21.84;21.8;120.0;255.0
10320;21.82;21.7;120.0;255.0
10350;21.75;21.6;120.0;255.0
10380;21.64;21.5;120.0;255.0
10410;21.55;21.4;120.0;255.0
10440;21.45;21.3;120.0;255.0
10470;21.34;21.2;120.0;255.0
10500;21.22;21.1;120.0;255.0
10530;21.13;21.0;120.0;255.0
10560;21.03;20.9;120.0;255.0
10590;20.95;20.8;120.0;255.0
10620;20.84;20.7;120.0;255.0
10650;20.73;20.6;120.0;255.0
10680;20.63;20.5;120.0;255.0
10710;20.54;20.4;120.0;255.0
10740;20.42;20.3;120.0;255.0
10770;20.31;20.2;120.0;255.0
10800;20.22;20.1;120.0;255.0
10830;20.12;20.0;120.0;255.0
10860;20.07;20.0;120.0;255.0
10890;20.03;20.0;120.0;255.0
10920;20.01;20.0;120.0;255.0
10950;20.01;20.0;120.0;255.0
10980;20.01;20.0;120.0;255.0
